x        Q2      f(x,Q2) 
0.400000 80.000000 -0.028675 
0.500000 80.000000 -0.015249 
0.600000 80.000000 -0.006401 
0.700000 80.000000 -0.001416 
0.800000 80.000000 0.000566 
0.900000 80.000000 0.000353 
0.999900 80.000000 -0.001352 
0.000010 90.000000 24.914179 
0.000020 90.000000 19.243246 
0.000030 90.000000 16.465099 
0.000040 90.000000 14.704734 
0.000050 90.000000 13.449475 
0.000060 90.000000 12.490644 
0.000070 90.000000 11.724336 
0.000080 90.000000 11.091920 
0.000090 90.000000 10.557336 
0.000100 90.000000 10.096966 
0.000200 90.000000 7.452458 
0.000300 90.000000 6.180371 
0.000400 90.000000 5.384902 
0.000500 90.000000 4.823730 
0.000600 90.000000 4.398996 
0.000700 90.000000 4.062284 
0.000800 90.000000 3.786429 
0.000900 90.000000 3.554804 
0.001000 90.000000 3.356568 
0.002000 90.000000 2.244756 
0.003000 90.000000 1.731281 
0.004000 90.000000 1.419923 
0.005000 90.000000 1.205871 
0.006000 90.000000 1.047498 
0.007000 90.000000 0.924498 
0.008000 90.000000 0.825614 
0.009000 90.000000 0.744036 
0.010000 90.000000 0.675366 
0.020000 90.000000 0.315013 
0.030000 90.000000 0.168326 
0.040000 90.000000 0.088711 
0.050000 90.000000 0.039605 
0.060000 90.000000 0.007109 
0.070000 90.000000 -0.015312 
0.080000 90.000000 -0.031169 
0.090000 90.000000 -0.042525 
0.100000 90.000000 -0.050676 
0.200000 90.000000 -0.062866 
0.300000 90.000000 -0.045043 
0.400000 90.000000 -0.027553 
0.500000 90.000000 -0.014526 
0.600000 90.000000 -0.006025 
0.700000 90.000000 -0.001286 
0.800000 90.000000 0.000566 
0.900000 90.000000 0.000334 
0.999900 90.000000 -0.001291 
0.000010 100.000000 25.220629 
0.000020 100.000000 19.444286 
0.000030 100.000000 16.617909 
0.000040 100.000000 14.828462 
0.000050 100.000000 13.553289 
0.000060 100.000000 12.579770 
0.000070 100.000000 11.802083 
0.000080 100.000000 11.160536 
0.000090 100.000000 10.618434 
0.000100 100.000000 10.151743 
0.000200 100.000000 7.474155 
0.000300 100.000000 6.188552 
0.000400 100.000000 5.385634 
0.000500 100.000000 4.819753 
0.000600 100.000000 4.391793 
0.000700 100.000000 4.052756 
0.000800 100.000000 3.775161 
0.000900 100.000000 3.542200 
0.001000 100.000000 3.342919 
0.002000 100.000000 2.227244 
0.003000 100.000000 1.713469 
0.004000 100.000000 1.402556 
0.005000 100.000000 1.189152 
0.006000 100.000000 1.031471 
0.007000 100.000000 0.909150 
0.008000 100.000000 0.810914 
0.009000 100.000000 0.729947 
0.010000 100.000000 0.661850 
0.020000 100.000000 0.305632 
0.030000 100.000000 0.161432 
